Property_ID,Square_Footage,Bedrooms,Bathrooms,Property_Age_Years,Lot_Size_SqFt,Garage_Cars,Location_Tier,Distance_to_City_Miles,Renovation_Score,Condition,Quarter_Sold,Annual_Tax,Price
PROP-1510,2275,4,3.0,38,7635,1,Emerging Tech Corridor,6.0,3,Fair,2024-Q1,7218,666062
PROP-1511,2067,3,2.5,9,4392,1,Emerging Tech Corridor,10.9,6,Good,2023-Q3,7467,625556
PROP-1512,1944,1,1.0,6,9435,1,Exurban,33.0,7,Good,2023-Q1,3948,339923
PROP-1513,1510,3,3.0,25,7520,1,Emerging Tech Corridor,11.9,5,Good,2024-Q2,5976,509235
PROP-1514,1725,2,2.0,33,8851,1,Suburban Prime,10.9,5,Good,2024-Q2,6229,547083
PROP-1515,2591,4,4.0,29,12315,3,Suburban Prime,20.6,4,Fair,2024-Q1,10761,910558
PROP-1516,2425,4,3.0,35,5799,1,Suburban Prime,15.3,5,Good,2023-Q2,7755,700985
PROP-1517,1464,2,2.0,20,2865,1,Urban Metro,1.6,3,Fair,2024-Q2,5918,515137
PROP-1518,2164,4,3.5,16,8159,1,Urban Metro,3.0,9,Excellent,2023-Q2,10388,892535
PROP-1519,2588,4,4.0,32,12688,3,Emerging Tech Corridor,6.9,7,Good,2023-Q2,10045,911912
PROP-1520,1014,1,1.0,9,2436,1,Suburban Standard,15.2,6,Good,2024-Q1,3031,243889
PROP-1521,2453,3,3.0,50,4474,3,Suburban Standard,20.1,5,Good,2023-Q4,5763,515134
PROP-1522,1669,3,2.5,46,7575,1,Exurban,41.8,7,Good,2023-Q4,2622,267225
PROP-1523,2470,4,3.5,41,5090,2,Suburban Standard,26.6,5,Good,2023-Q4,5875,563505
PROP-1524,1603,2,2.0,50,5140,1,Suburban Standard,20.0,4,Fair,2023-Q3,3288,296061
PROP-1525,926,2,2.0,11,3804,0,Emerging Tech Corridor,13.7,3,Fair,2024-Q1,3921,323599
PROP-1526,1042,1,1.0,15,2714,1,Urban Metro,5.7,6,Good,2023-Q2,3712,387141
PROP-1527,2131,4,3.5,40,4444,1,Suburban Prime,20.1,8,Excellent,2024-Q2,7555,669185
PROP-1528,2268,4,4.0,31,10020,2,Exurban,37.5,3,Fair,2023-Q3,4847,408928
PROP-1529,1512,3,3.0,14,5961,1,Exurban,28.5,3,Fair,2023-Q4,3163,316679
PROP-1530,2515,4,3.5,26,12979,3,Emerging Tech Corridor,7.0,5,Good,2023-Q1,9755,887991
PROP-1531,1020,1,1.0,27,3030,1,Suburban Prime,17.1,7,Good,2023-Q3,3360,284688
PROP-1532,2057,3,2.0,16,4134,2,Emerging Tech Corridor,8.8,4,Fair,2023-Q3,6856,589423
PROP-1533,1312,2,2.5,45,5637,1,Urban Metro,1.7,4,Fair,2024-Q1,5826,477273
PROP-1534,1676,3,3.0,49,5989,1,Urban Metro,3.4,6,Good,2024-Q2,6898,631639
PROP-1535,2130,2,2.5,1,5378,3,Suburban Prime,8.2,5,Good,2023-Q3,7464,688346
PROP-1536,1540,1,1.0,35,6865,0,Suburban Prime,18.3,2,Needs Renovation,2024-Q2,4696,375062
PROP-1537,1850,2,2.0,49,4611,1,Suburban Prime,9.0,2,Needs Renovation,2024-Q1,5580,518513
PROP-1538,2754,5,3.5,6,7397,3,Suburban Prime,16.8,6,Good,2023-Q1,10629,935479
PROP-1539,1725,3,2.5,12,3647,2,Urban Metro,5.0,5,Good,2023-Q2,8011,656849
PROP-1540,2643,4,3.5,14,8346,2,Suburban Prime,9.9,9,Excellent,2023-Q2,10486,916110
PROP-1541,1365,2,1.5,24,4401,1,Emerging Tech Corridor,9.7,6,Good,2023-Q4,5182,441727
PROP-1542,2444,4,3.5,22,8675,2,Suburban Standard,24.5,1,Needs Renovation,2023-Q4,6765,569809
PROP-1543,3037,5,4.0,21,12787,2,Urban Metro,2.3,5,Good,2023-Q1,13231,1167323
PROP-1544,750,1,1.5,25,3660,0,Suburban Prime,10.3,5,Good,2023-Q2,3095,255237
PROP-1545,1582,2,1.5,32,3588,1,Suburban Standard,17.4,2,Needs Renovation,2023-Q4,3124,288152
PROP-1546,2475,4,3.5,10,4912,2,Suburban Prime,15.8,8,Excellent,2024-Q2,9664,831860
PROP-1547,1968,3,1.5,9,3666,1,Suburban Prime,16.1,7,Good,2023-Q3,6453,565147
PROP-1548,2341,4,3.0,24,5356,2,Suburban Standard,14.1,3,Fair,2024-Q1,5567,536683
PROP-1549,1707,3,2.0,36,6891,3,Exurban,36.4,4,Fair,2023-Q4,3815,334185
PROP-1550,2156,1,1.5,47,9213,2,Urban Metro,2.3,1,Needs Renovation,2023-Q1,6723,658459
PROP-1551,1998,3,3.0,42,8939,1,Suburban Prime,19.8,4,Fair,2023-Q2,6842,591787
PROP-1552,2859,4,3.5,52,7515,3,Suburban Prime,12.4,5,Good,2023-Q1,9969,896362
PROP-1553,2265,2,2.5,37,6432,1,Suburban Standard,25.4,5,Good,2024-Q1,5404,431468
PROP-1554,2319,4,3.0,40,7983,0,Urban Metro,3.1,9,Excellent,2024-Q1,9605,844484
PROP-1555,1832,3,3.5,44,3691,1,Urban Metro,4.6,2,Needs Renovation,2023-Q1,7227,620578
PROP-1556,1783,2,2.5,23,6914,2,Suburban Prime,15.1,5,Good,2023-Q4,5346,505442
PROP-1557,1818,3,2.5,39,9353,2,Exurban,40.5,7,Good,2023-Q4,4009,339631
PROP-1558,2356,4,4.0,45,7131,2,Suburban Standard,18.3,5,Good,2023-Q2,5894,543422
PROP-1559,1826,3,2.0,32,7960,1,Suburban Standard,24.3,1,Needs Renovation,2024-Q2,4346,358861
PROP-1560,2288,4,3.0,16,8008,2,Emerging Tech Corridor,8.8,3,Fair,2023-Q2,7722,719500
PROP-1561,3449,6,4.5,23,7706,2,Urban Metro,3.3,4,Fair,2023-Q3,13381,1191819
PROP-1562,2666,4,3.0,36,10076,2,Emerging Tech Corridor,9.7,9,Excellent,2024-Q2,8907,826367
PROP-1563,1888,2,1.5,1,5323,2,Suburban Standard,25.3,8,Excellent,2023-Q3,4620,409139
PROP-1564,2880,4,4.0,31,5520,2,Suburban Prime,17.2,9,Excellent,2023-Q2,10731,903961
PROP-1565,1834,2,2.0,23,7260,2,Emerging Tech Corridor,8.1,7,Good,2024-Q2,6761,584408
PROP-1566,775,2,2.0,8,3658,0,Emerging Tech Corridor,11.0,4,Fair,2024-Q2,3109,278521
PROP-1567,1444,2,1.5,3,4291,2,Emerging Tech Corridor,10.8,8,Excellent,2023-Q3,5063,518011
PROP-1568,883,1,1.0,16,2761,0,Urban Metro,5.7,10,Excellent,2023-Q1,3785,352318
PROP-1569,1871,3,2.5,16,9035,1,Exurban,46.0,4,Fair,2023-Q4,3852,331299
PROP-1570,2111,3,2.0,52,9639,1,Exurban,41.2,4,Fair,2024-Q2,3334,311387
PROP-1571,3189,6,4.5,49,13492,1,Suburban Prime,12.8,5,Good,2024-Q2,11315,972041
PROP-1572,2312,3,2.0,47,6117,0,Urban Metro,4.9,3,Fair,2023-Q3,7700,685625
PROP-1573,1957,3,3.5,29,9578,0,Urban Metro,3.9,1,Needs Renovation,2024-Q2,8061,690903
PROP-1574,2639,3,3.0,39,6135,2,Exurban,49.6,9,Excellent,2023-Q3,5440,480297
PROP-1575,750,1,1.0,10,2948,0,Suburban Standard,16.0,8,Excellent,2023-Q1,2291,211995
PROP-1576,2253,3,3.0,20,4276,2,Suburban Prime,9.1,3,Fair,2024-Q2,7428,675919
PROP-1577,2601,4,3.0,20,10374,2,Suburban Prime,9.0,5,Good,2024-Q1,9300,857471
PROP-1578,1138,1,1.5,17,3120,1,Suburban Prime,17.0,7,Good,2023-Q2,4475,370239
PROP-1579,2843,4,3.5,54,9464,2,Suburban Standard,27.0,6,Good,2023-Q1,7067,642479
PROP-1580,2320,3,2.5,28,6899,2,Suburban Prime,8.0,4,Fair,2024-Q1,8492,744232
PROP-1581,1830,3,3.0,23,4368,2,Exurban,43.1,6,Good,2023-Q1,3369,314923
PROP-1582,2511,3,3.0,9,9829,2,Suburban Standard,22.5,8,Excellent,2023-Q4,6950,649604
PROP-1583,3575,6,5.0,44,17155,3,Emerging Tech Corridor,11.6,8,Excellent,2023-Q1,13281,1170974
PROP-1584,2218,3,2.0,16,11225,1,Suburban Prime,13.0,4,Fair,2023-Q1,7605,699021
PROP-1585,2261,2,1.5,17,5548,0,Urban Metro,5.1,3,Fair,2023-Q4,7367,668530
PROP-1586,1801,2,2.0,41,7634,2,Suburban Prime,8.6,8,Excellent,2024-Q2,6106,578659
PROP-1587,1547,2,2.0,47,6278,0,Suburban Prime,18.6,2,Needs Renovation,2023-Q2,4208,388936
PROP-1588,2639,4,3.0,19,7831,3,Urban Metro,2.3,6,Good,2024-Q1,11256,1004426
PROP-1589,1543,3,3.5,36,2877,1,Exurban,36.9,3,Fair,2023-Q3,2868,263836
PROP-1590,2146,2,2.5,44,8895,1,Suburban Prime,19.5,4,Fair,2023-Q2,6230,534409
PROP-1591,1789,3,3.0,17,8971,0,Urban Metro,2.4,5,Good,2023-Q1,7910,702364
PROP-1592,2411,3,2.5,16,9521,3,Urban Metro,1.9,3,Fair,2023-Q3,11195,916865
PROP-1593,2316,4,3.0,8,7596,1,Suburban Prime,17.5,8,Excellent,2023-Q4,8801,774446
PROP-1594,2774,4,3.0,13,9946,2,Exurban,38.3,1,Needs Renovation,2023-Q2,5357,524826
PROP-1595,1768,2,2.0,48,4382,1,Suburban Prime,15.2,8,Excellent,2024-Q2,5507,497443
PROP-1596,1924,3,2.5,28,8372,1,Suburban Prime,11.6,8,Excellent,2024-Q1,6809,611409
PROP-1597,1463,1,1.0,30,6346,1,Suburban Standard,12.6,4,Fair,2023-Q2,3116,294658
PROP-1598,1811,3,2.5,3,4155,1,Suburban Prime,13.7,6,Good,2023-Q2,6602,587602
PROP-1599,2345,3,2.5,17,11221,1,Urban Metro,1.5,4,Fair,2024-Q2,9320,849451
PROP-1600,2592,5,3.0,19,7037,2,Urban Metro,5.5,6,Good,2023-Q3,10657,942625
PROP-1601,1500,2,1.5,46,7709,1,Suburban Prime,8.6,5,Good,2023-Q4,4446,448108
PROP-1602,2665,4,3.0,42,8266,2,Urban Metro,3.2,4,Fair,2024-Q2,10531,909662
PROP-1603,2981,4,4.0,43,7168,2,Urban Metro,1.3,5,Good,2023-Q4,11368,1057292
PROP-1604,2368,2,2.0,8,7094,2,Emerging Tech Corridor,5.9,6,Good,2024-Q2,7572,683176
PROP-1605,3319,4,3.0,12,10941,2,Urban Metro,4.3,8,Excellent,2023-Q2,13178,1196320
PROP-1606,1597,2,2.0,14,3250,3,Emerging Tech Corridor,10.8,3,Fair,2023-Q4,5648,496105
PROP-1607,1290,2,1.5,26,4858,2,Emerging Tech Corridor,5.3,5,Good,2023-Q3,4848,437795
PROP-1608,943,1,1.5,14,3613,1,Suburban Prime,8.0,4,Fair,2023-Q3,3487,304624
PROP-1609,3072,5,4.0,27,13247,1,Suburban Prime,9.1,7,Good,2024-Q1,11831,1026625
PROP-1610,2525,3,2.5,36,4795,2,Urban Metro,4.8,2,Needs Renovation,2023-Q4,9192,800215
PROP-1611,2063,3,3.0,54,7509,1,Suburban Standard,21.4,6,Good,2024-Q1,4739,422199
PROP-1612,2281,4,3.0,18,4516,1,Suburban Standard,12.6,3,Fair,2024-Q2,6017,524949
PROP-1613,1368,2,1.5,25,5723,0,Suburban Standard,19.8,5,Good,2023-Q1,3915,297120
PROP-1614,3689,5,4.0,51,7339,2,Urban Metro,4.6,7,Good,2023-Q3,13969,1225702
PROP-1615,2183,3,3.0,25,10696,2,Exurban,46.7,6,Good,2023-Q2,4472,407203
PROP-1616,2171,2,1.5,24,9090,3,Urban Metro,5.7,6,Good,2023-Q3,9139,781793
PROP-1617,2571,3,1.5,25,9063,2,Suburban Prime,12.6,5,Good,2023-Q1,9027,795541
PROP-1618,2412,3,2.5,25,7962,3,Suburban Prime,9.9,8,Excellent,2023-Q2,8445,779826
PROP-1619,2245,3,3.0,45,5038,0,Urban Metro,2.2,5,Good,2023-Q4,8193,736361
PROP-1620,1586,2,2.5,27,4423,1,Suburban Prime,18.9,8,Excellent,2023-Q4,5460,526983
PROP-1621,2406,4,3.0,48,11439,1,Emerging Tech Corridor,13.7,5,Good,2023-Q3,6913,678521
PROP-1622,3323,5,4.0,17,16200,3,Emerging Tech Corridor,9.2,5,Good,2023-Q2,11980,1095117
PROP-1623,2974,4,4.0,31,5360,2,Emerging Tech Corridor,7.7,3,Fair,2024-Q2,9180,816381
PROP-1624,3135,5,3.5,52,11975,2,Suburban Prime,14.0,5,Good,2023-Q2,11289,1004638
PROP-1625,1767,3,2.5,2,7502,2,Suburban Standard,16.9,3,Fair,2024-Q1,4878,473413
PROP-1626,1456,1,1.5,1,5683,0,Urban Metro,2.3,7,Good,2023-Q1,5466,551757
PROP-1627,2018,4,3.5,32,4192,1,Suburban Prime,16.3,6,Good,2023-Q4,7195,603050
PROP-1628,2136,3,2.5,41,5426,2,Urban Metro,1.1,10,Excellent,2023-Q3,8807,783789
PROP-1629,2811,4,3.5,18,7452,2,Suburban Prime,11.6,2,Needs Renovation,2023-Q2,9928,844785
PROP-1630,999,2,1.0,16,4623,0,Suburban Prime,17.3,3,Fair,2023-Q4,4085,324672
PROP-1631,3094,5,3.5,43,10441,2,Suburban Prime,8.4,7,Good,2023-Q3,11416,999669
PROP-1632,1997,3,3.0,32,6900,1,Suburban Standard,13.3,4,Fair,2023-Q4,4897,435660
PROP-1633,1822,3,2.0,11,9071,1,Exurban,32.3,5,Good,2023-Q3,3927,361339
PROP-1634,1442,2,2.0,48,5719,1,Suburban Prime,20.3,7,Good,2023-Q4,4524,384721
PROP-1635,1024,1,1.5,2,4972,0,Exurban,44.1,5,Good,2024-Q2,1339,123864
PROP-1636,2635,3,2.5,42,8832,3,Emerging Tech Corridor,5.2,3,Fair,2024-Q1,8395,765429
PROP-1637,2147,3,2.5,48,4955,1,Suburban Prime,15.0,8,Excellent,2023-Q1,6548,640856
PROP-1638,1261,2,1.5,54,6256,1,Suburban Standard,16.4,1,Needs Renovation,2023-Q4,2775,250081
PROP-1639,1258,1,1.0,25,4226,0,Urban Metro,4.2,8,Excellent,2023-Q1,5602,470868
PROP-1640,1881,3,3.0,34,4547,2,Emerging Tech Corridor,11.5,2,Needs Renovation,2023-Q4,6600,555575
PROP-1641,3184,4,3.5,7,9004,2,Suburban Standard,25.8,6,Good,2023-Q2,8382,747048
PROP-1642,1931,2,1.5,51,3809,1,Exurban,36.9,2,Needs Renovation,2024-Q1,2213,221448
PROP-1643,1122,1,1.5,35,3806,1,Suburban Standard,27.9,6,Good,2024-Q2,2938,238146
PROP-1644,1940,3,3.0,52,9119,1,Emerging Tech Corridor,13.8,1,Needs Renovation,2024-Q1,5601,500535
PROP-1645,1922,2,1.0,53,9560,1,Emerging Tech Corridor,12.9,7,Good,2023-Q1,6171,560798
PROP-1646,750,2,2.5,6,3728,0,Suburban Prime,16.0,5,Good,2023-Q2,3209,325544
PROP-1647,2064,2,2.0,45,4594,2,Suburban Prime,13.6,2,Needs Renovation,2023-Q3,7300,595494
PROP-1648,1949,3,3.0,45,6039,1,Suburban Prime,13.1,6,Good,2024-Q1,6990,604392
PROP-1649,2552,4,4.0,35,4838,2,Suburban Prime,8.2,5,Good,2024-Q2,9490,824692
PROP-1650,3301,5,3.5,15,15539,3,Urban Metro,2.2,3,Fair,2023-Q2,13550,1232997
PROP-1651,2832,5,3.5,23,8551,2,Emerging Tech Corridor,11.5,1,Needs Renovation,2023-Q2,9443,841062
PROP-1652,1925,2,2.0,53,7595,2,Suburban Prime,16.5,5,Good,2023-Q1,5747,515381
PROP-1653,1380,2,1.5,0,5838,1,Exurban,47.9,2,Needs Renovation,2024-Q2,2293,183857
PROP-1654,3772,6,5.0,48,12302,2,Emerging Tech Corridor,5.5,2,Needs Renovation,2023-Q2,12973,1121910
PROP-1655,2138,3,2.5,24,6075,2,Suburban Standard,14.5,4,Fair,2023-Q2,5157,498925
PROP-1656,2109,4,3.0,9,10695,0,Exurban,44.7,6,Good,2023-Q3,3966,382911
PROP-1657,2084,3,2.5,53,10585,2,Suburban Prime,13.0,5,Good,2023-Q1,7197,625369
PROP-1658,2228,3,2.0,15,6202,3,Emerging Tech Corridor,6.1,2,Needs Renovation,2023-Q1,7305,665868
PROP-1659,2006,3,2.5,15,6882,1,Suburban Prime,22.0,9,Excellent,2024-Q2,7284,628581
PROP-1660,1727,2,2.0,7,8820,1,Suburban Prime,19.0,8,Excellent,2023-Q2,6498,590226
PROP-1661,1744,3,2.5,28,3168,1,Suburban Prime,13.7,4,Fair,2023-Q3,5172,495310
PROP-1662,2078,3,2.5,38,6656,1,Suburban Prime,19.5,2,Needs Renovation,2023-Q4,5906,574487
PROP-1663,1746,1,1.0,27,3739,2,Suburban Standard,22.9,9,Excellent,2024-Q1,3976,342087
PROP-1664,1636,3,2.0,5,5776,0,Suburban Prime,19.1,5,Good,2023-Q1,5648,490712
PROP-1665,2169,2,2.0,15,4086,1,Suburban Prime,19.4,4,Fair,2023-Q3,6256,532646
PROP-1666,1934,3,3.5,19,6156,2,Exurban,27.1,5,Good,2024-Q2,4429,386723
PROP-1667,3077,5,4.0,15,7847,2,Suburban Standard,22.0,6,Good,2023-Q3,7580,777499
PROP-1668,750,1,1.5,6,2709,0,Suburban Prime,8.1,3,Fair,2023-Q2,3271,278584
PROP-1669,2809,4,3.5,40,14568,2,Suburban Standard,12.7,6,Good,2024-Q1,7544,712636
PROP-1670,2909,4,3.0,13,13153,3,Emerging Tech Corridor,13.1,6,Good,2023-Q1,9409,890189
PROP-1671,752,1,2.0,42,3515,0,Exurban,38.2,5,Good,2023-Q4,747,120000
PROP-1672,1877,2,2.0,25,7432,2,Suburban Prime,18.3,7,Good,2023-Q2,5984,590072
PROP-1673,1858,3,3.5,25,3606,0,Urban Metro,5.2,3,Fair,2023-Q1,7171,632810
PROP-1674,1185,2,1.5,13,2966,0,Suburban Prime,21.3,5,Good,2024-Q2,3877,365828
PROP-1675,1594,3,3.5,6,7882,1,Suburban Prime,20.2,5,Good,2023-Q1,6206,594799
PROP-1676,1378,1,1.5,32,4195,1,Emerging Tech Corridor,9.3,5,Good,2023-Q3,4679,417163
PROP-1677,3238,5,4.0,25,6969,3,Suburban Prime,12.7,4,Fair,2024-Q1,10575,973843
PROP-1678,2708,3,2.5,44,11341,1,Exurban,28.9,4,Fair,2023-Q4,5110,430034
PROP-1679,2926,4,3.0,19,8245,3,Suburban Prime,13.6,2,Needs Renovation,2024-Q1,10050,858531
PROP-1680,2569,4,4.0,2,6972,2,Exurban,34.2,4,Fair,2023-Q3,5494,496375
PROP-1681,1366,3,2.5,51,7093,0,Urban Metro,3.8,4,Fair,2023-Q4,6347,529845
PROP-1682,1759,2,1.0,3,8298,0,Emerging Tech Corridor,11.0,6,Good,2023-Q4,6145,511870
PROP-1683,2418,3,2.0,25,7706,2,Exurban,49.5,1,Needs Renovation,2023-Q2,3997,354610
PROP-1684,1305,2,2.0,10,6698,2,Exurban,43.2,6,Good,2023-Q4,3462,262676
PROP-1685,2563,4,3.5,1,10278,2,Urban Metro,4.2,3,Fair,2023-Q1,11051,1003363
PROP-1686,1943,2,2.0,13,8399,1,Urban Metro,2.7,2,Needs Renovation,2024-Q1,6380,622022
PROP-1687,1856,3,3.0,43,3539,0,Suburban Standard,12.6,4,Fair,2024-Q2,4283,424057
PROP-1688,2562,3,2.0,29,5670,3,Urban Metro,2.4,3,Fair,2024-Q2,9093,829840
PROP-1689,2388,3,2.5,48,9438,2,Urban Metro,4.8,5,Good,2024-Q1,9264,812917
PROP-1690,1865,3,2.0,11,9057,1,Urban Metro,2.0,4,Fair,2023-Q2,7980,743435
PROP-1691,2853,4,3.5,25,11185,3,Suburban Prime,18.0,9,Excellent,2023-Q4,10433,949629
PROP-1692,1397,2,2.0,43,3151,1,Suburban Prime,16.1,9,Excellent,2023-Q3,4009,391498
PROP-1693,2500,4,3.5,32,5483,1,Urban Metro,1.9,5,Good,2023-Q1,9286,846635
PROP-1694,2485,4,3.0,12,11605,2,Urban Metro,2.3,7,Good,2023-Q2,11515,992214
PROP-1695,1898,2,2.5,13,4315,1,Suburban Prime,14.9,1,Needs Renovation,2023-Q4,5948,521519
PROP-1696,2311,3,3.0,23,8247,1,Suburban Standard,18.7,5,Good,2024-Q2,5884,540858
PROP-1697,1286,3,3.0,33,2477,1,Urban Metro,4.9,6,Good,2023-Q3,6071,509402
PROP-1698,2700,4,3.0,43,5600,3,Suburban Prime,18.3,3,Fair,2023-Q4,8967,799992
PROP-1699,1979,3,3.0,25,8086,0,Exurban,39.4,2,Needs Renovation,2023-Q2,3732,329655
PROP-1700,1760,3,2.5,20,7292,0,Exurban,45.6,3,Fair,2023-Q3,3118,247835
PROP-1701,2781,4,3.5,27,8234,2,Exurban,39.1,5,Good,2023-Q3,5722,520112
PROP-1702,1642,3,3.5,47,4159,0,Emerging Tech Corridor,13.7,5,Good,2023-Q3,6082,518554
PROP-1703,1184,2,2.5,35,5406,1,Suburban Prime,11.0,4,Fair,2023-Q3,4665,393927
PROP-1704,1088,1,1.0,39,2761,1,Suburban Standard,23.4,5,Good,2023-Q4,2175,198142
PROP-1705,2493,4,3.5,1,9081,3,Suburban Prime,13.2,5,Good,2023-Q3,9143,853779
PROP-1706,1267,1,1.0,41,6451,1,Suburban Standard,16.5,6,Good,2023-Q4,2924,260802
PROP-1707,3240,4,3.5,8,7460,2,Suburban Prime,10.5,2,Needs Renovation,2023-Q3,11289,977535
PROP-1708,750,1,1.5,22,3749,0,Suburban Standard,20.8,6,Good,2023-Q3,2474,198937
PROP-1709,3202,5,3.5,14,7754,3,Suburban Prime,11.0,6,Good,2023-Q2,12166,1040492
PROP-1710,2237,4,3.0,12,8342,0,Urban Metro,2.0,6,Good,2023-Q4,9845,892202
PROP-1711,2037,4,3.0,22,6277,1,Emerging Tech Corridor,13.9,6,Good,2024-Q2,7514,650060
PROP-1712,1745,3,2.5,16,8865,1,Urban Metro,5.0,5,Good,2023-Q4,7157,666026
PROP-1713,2359,4,3.0,47,6440,1,Suburban Prime,18.5,3,Fair,2024-Q1,7221,639401
PROP-1714,2075,2,2.0,1,6554,0,Urban Metro,5.0,5,Good,2024-Q2,8605,738782
PROP-1715,2817,4,3.5,19,14484,2,Suburban Prime,21.6,9,Excellent,2023-Q2,11225,978034
PROP-1716,2174,3,2.5,19,7878,2,Urban Metro,3.9,5,Good,2023-Q4,8613,766287
PROP-1717,2197,3,2.5,45,7709,2,Exurban,30.5,1,Needs Renovation,2023-Q2,3900,355422
PROP-1718,1863,3,3.0,2,4986,2,Suburban Prime,20.1,2,Needs Renovation,2024-Q2,6330,591841
PROP-1719,2062,3,3.5,54,8628,1,Suburban Prime,18.4,10,Excellent,2023-Q2,7214,650199
PROP-1720,2300,2,1.5,11,4252,2,Suburban Prime,13.8,2,Needs Renovation,2023-Q2,6203,589017
PROP-1721,988,2,1.5,39,1944,1,Suburban Standard,19.6,1,Needs Renovation,2023-Q1,1702,161176
PROP-1722,1223,1,1.5,1,4693,0,Emerging Tech Corridor,8.7,4,Fair,2023-Q4,3336,346313
PROP-1723,2583,4,3.0,35,7650,2,Suburban Standard,26.9,9,Excellent,2023-Q2,6105,580427
PROP-1724,2211,4,3.0,13,11146,2,Suburban Standard,17.5,4,Fair,2023-Q1,6966,599153
PROP-1725,1980,2,2.0,15,9644,1,Exurban,49.1,5,Good,2023-Q1,3963,334041
PROP-1726,2111,2,1.0,18,8922,2,Emerging Tech Corridor,13.2,6,Good,2023-Q3,6630,599774
PROP-1727,2325,3,3.0,33,10652,3,Suburban Standard,22.1,1,Needs Renovation,2023-Q3,5516,490800
PROP-1728,1749,3,2.5,43,7116,2,Urban Metro,3.9,8,Excellent,2024-Q2,7652,677891
PROP-1729,1594,3,2.5,45,3549,1,Suburban Standard,17.9,5,Good,2023-Q4,4242,366451
PROP-1730,2227,2,2.0,5,9805,1,Suburban Prime,8.3,5,Good,2023-Q3,7776,684841
PROP-1731,1464,2,2.0,12,3681,2,Suburban Standard,14.0,7,Good,2024-Q2,3596,356887
PROP-1732,2365,3,2.0,35,6857,1,Emerging Tech Corridor,11.8,9,Excellent,2023-Q4,6901,681687
PROP-1733,993,1,2.0,21,4553,1,Suburban Standard,19.5,5,Good,2024-Q2,2474,248161
PROP-1734,2768,6,4.5,17,10031,2,Emerging Tech Corridor,6.3,3,Fair,2023-Q1,9901,888240
PROP-1735,2407,3,3.0,11,11370,0,Urban Metro,2.3,7,Good,2023-Q1,10780,936806
PROP-1736,2266,3,3.0,51,5720,2,Urban Metro,5.7,5,Good,2023-Q4,8262,731449
PROP-1737,2738,4,3.0,53,10586,3,Suburban Prime,13.1,8,Excellent,2024-Q2,9803,861008
PROP-1738,3182,5,4.0,29,6634,1,Exurban,47.7,9,Excellent,2024-Q2,6383,593986
PROP-1739,2759,4,3.0,52,10998,2,Emerging Tech Corridor,7.7,2,Needs Renovation,2023-Q3,8817,789197
PROP-1740,903,1,1.5,50,3966,0,Suburban Standard,20.7,9,Excellent,2023-Q3,2415,213918
PROP-1741,1268,1,1.0,39,4804,0,Suburban Standard,12.3,4,Fair,2023-Q4,2819,271996
PROP-1742,1693,2,2.0,6,4579,0,Suburban Standard,20.4,6,Good,2024-Q1,3621,351955
PROP-1743,2116,3,2.5,31,4034,2,Exurban,40.9,1,Needs Renovation,2023-Q3,3798,345197
PROP-1744,2436,4,3.5,47,5374,2,Emerging Tech Corridor,7.1,8,Excellent,2023-Q2,8960,782361
PROP-1745,1628,2,2.0,18,6374,1,Suburban Standard,21.3,6,Good,2023-Q3,3922,374453
PROP-1746,2221,3,2.5,5,11053,1,Suburban Standard,22.4,6,Good,2024-Q1,6061,546752
PROP-1747,1609,2,1.5,19,4026,1,Urban Metro,4.4,8,Excellent,2024-Q2,6473,541703
PROP-1748,1702,3,2.5,26,7317,1,Suburban Standard,24.4,5,Good,2023-Q1,4588,423634
PROP-1749,1185,1,1.0,52,5623,0,Suburban Prime,12.4,5,Good,2023-Q1,2597,231707
PROP-1750,1499,1,1.5,42,5352,0,Urban Metro,3.8,7,Good,2024-Q2,5521,495816
PROP-1751,1221,2,2.0,36,4976,0,Emerging Tech Corridor,13.8,6,Good,2023-Q1,3607,327097
PROP-1752,1465,1,1.0,47,6696,0,Suburban Prime,20.6,9,Excellent,2023-Q3,5110,411610
PROP-1753,2784,4,3.0,6,7478,2,Exurban,48.8,9,Excellent,2023-Q1,5991,526783
PROP-1754,1482,2,1.5,4,4163,2,Suburban Prime,13.4,4,Fair,2024-Q1,5101,497541
PROP-1755,3811,6,4.0,10,6867,3,Suburban Prime,19.0,5,Good,2024-Q1,13319,1148284
PROP-1756,2420,2,1.5,14,12280,2,Suburban Prime,16.7,4,Fair,2023-Q3,7823,691189
PROP-1757,2220,5,4.0,2,10921,2,Urban Metro,1.4,6,Good,2024-Q2,10544,951472
PROP-1758,1542,3,3.0,4,6784,0,Suburban Prime,19.5,4,Fair,2023-Q2,6538,547615
PROP-1759,2555,4,3.5,22,5285,1,Suburban Prime,17.5,7,Good,2023-Q3,8786,805345
PROP-1760,1725,2,1.5,52,5729,2,Urban Metro,2.0,2,Needs Renovation,2023-Q1,6651,547897
PROP-1761,2179,3,3.0,36,4677,1,Suburban Prime,9.1,2,Needs Renovation,2023-Q3,7039,626024
PROP-1762,3764,6,4.5,8,6978,3,Urban Metro,5.2,3,Fair,2024-Q1,15334,1342190
PROP-1763,2037,3,2.5,14,7934,2,Suburban Standard,13.3,2,Needs Renovation,2023-Q3,6391,488529
PROP-1764,2847,5,3.5,2,14425,2,Urban Metro,1.5,6,Good,2023-Q3,13104,1165199
